canton,mes,anio,produccion,area
El Guarco,enero,2009,,
El Guarco,febrero,2009,,
El Guarco,marzo,2009,,
El Guarco,abril,2009,,
El Guarco,mayo,2009,,
El Guarco,junio,2009,,
El Guarco,julio,2009,,
El Guarco,agosto,2009,,
El Guarco,septiembre,2009,,
El Guarco,octubre,2009,,
El Guarco,noviembre,2009,,
El Guarco,diciembre,2009,,
Cartago,enero,2009,41.66,876.66
Cartago,febrero,2009,112.21,2300.61
Cartago,marzo,2009,157.87,3353.65
Cartago,abril,2009,45.36,946.25
Cartago,mayo,2009,11.39,235.66
Cartago,junio,2009,21.35,513.36
Cartago,julio,2009,42.4,1082.16
Cartago,agosto,2009,226.99,5278.0
Cartago,septiembre,2009,156.48,3637.0
Cartago,octubre,2009,128.47,3252.0
Cartago,noviembre,2009,137.04,3590.0
Cartago,diciembre,2009,41.83,919.38
Alvarado,enero,2009,24.18,626.54
Alvarado,febrero,2009,26.63,604.66
Alvarado,marzo,2009,7.91,148.63
Alvarado,abril,2009,87.53,2060.58
Alvarado,mayo,2009,81.01,1883.13
Alvarado,junio,2009,42.02,1261.51
Alvarado,julio,2009,43.23,1035.09
Alvarado,agosto,2009,68.32,1816.0
Alvarado,septiembre,2009,74.24,2068.0
Alvarado,octubre,2009,29.59,745.66
Alvarado,noviembre,2009,8.05,211.14
Alvarado,diciembre,2009,27.52,638.15
Turrialba,enero,2010,0.53,7.52
Turrialba,febrero,2010,3.5,115.92
Turrialba,marzo,2010,,
Turrialba,abril,2010,,
Turrialba,mayo,2010,,
Turrialba,junio,2010,,
Turrialba,julio,2010,,
Turrialba,agosto,2010,,
Turrialba,septiembre,2010,,
Turrialba,octubre,2010,,
Turrialba,noviembre,2010,,
Turrialba,diciembre,2010,,
Oreamuno,enero,2010,59.0,1690.02
Oreamuno,febrero,2010,79.81,2176.62
Oreamuno,marzo,2010,48.13,1179.0
Oreamuno,abril,2010,46.03,1078.0
Oreamuno,mayo,2010,35.53,886.49
Oreamuno,junio,2010,26.43,615.32
Oreamuno,julio,2010,24.85,685.58
